"filename", "language", "Python", "Properties", "HTML", "Visual Basic", "JavaScript", "XSL", "C++", "C", "Markdown", "PostCSS", "reStructuredText", "JSON", "XML", "toml", "Ini", "Lua", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\__init__.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 41, 249
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_core_metadata.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 56, 338
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_discovery.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 34
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\_log.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\_macos_compat.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\_modified.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 19, 96
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\_msvccompiler.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\archive_util.py", "Python", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 44, 295
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\ccompiler.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\cmd.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 58, 555
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\setuptools\_distutils\command\__init__.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 24
